simulation_number,shower_length,total_water,water_type,heat_type,total_heat,total_CO2eq
1,8.390252600146367,95.35710860749849,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, natural gas {CH}",13.73142363947978,1.5667729281804323
2,7.18795877828928,81.6927688059828,"tap water production, underground water with chemical treatment","Heat, central or small-scale, other than natural gas {CH}",11.763758708061522,1.2518616683287274
3,13.064128303038117,148.4767575928964,"tap water production, underground water with disinfection","Heat, central or small-scale, natural gas {CH}",21.38065309337708,1.6031524520012514
4,15.496828672619554,176.12494465077256,"tap water production, conventional treatment","Heat, central or small-scale, other than natural gas {CH}",25.361992029711246,2.684970362186079
5,10.413152033592842,118.34781582099022,"tap water production, underground water without treatment","Heat, central or small-scale, other than natural gas {CH}",17.04208547822259,0.04928068650246585
6,11.81876812811514,134.3229589988574,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",19.34250609583546,1.4719603116461493
7,8.385531421963176,95.30345135518144,"tap water production, underground water with disinfection","Heat, central or small-scale, natural gas {CH}",13.723696995146126,1.029022752120975
8,6.937820102686161,78.84988647655133,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",11.35438365262339,0.8640660117700005
9,6.961658971003123,79.12082057871898,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",11.393398163335531,0.8357174149140562
10,10.123427825629841,115.05503500954391,"tap water production, conventional treatment","Heat, central or small-scale, natural gas {CH}",16.567925041374323,1.2516880625692297
11,13.336413326475226,151.5713381483894,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",21.82627269336807,1.6009794383566684
12,10.639868472270882,120.92449915776484,"tap water production, underground water with disinfection","Heat, central or small-scale, natural gas {CH}",17.413127878718136,1.3056616434427637
13,10.167119645618826,115.55160237437822,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",16.639430741910463,1.2205192731717722
14,11.979607373160508,136.15093320762816,"tap water production, underground water with disinfection","Heat, central or small-scale, other than natural gas {CH}",19.605734381898454,2.064454241317042
15,8.655668949412593,98.37362513558774,"tap water production, underground water with disinfection","Heat, central or small-scale, natural gas {CH}",14.165802019524634,1.0621724295783965
16,11.805503931308028,134.1722084177003,"tap water production, conventional with biological treatment","Heat, borehole heat pump {CH}",19.320798012148842,0.6050653862851577
17,7.369698653459203,83.75828337876088,"tap water production, underground water without treatment","Electricity, low voltage, Zurich, Switzerland",12.061192806541566,0.4026287286939537
18,11.00314584993146,125.05322829228729,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",18.007664874089368,1.3691996505299304
